Timestamp,Πόσες διαλέξεις παρακολούθησα;,Πόσα εργαστήρια παρακολούθησα;,Πόσες εργασίες υπέβαλλα;,Έχω χειρόγραφες σημειώσεις;,Χρησιμοποίησα σημειώσεις από άλλο;,Τελικά πέρασα;
20/02/2020 12:11:27,9,7,2,δεν_έχω_σημειώσεις,χρησιμοποίησα_σημειώσεις,Ναι
20/02/2020 12:11:40,5,3,3,έχω_σημειώσεις,χρησιμοποίησα_σημειώσεις,
20/02/2020 12:12:21,4,10,3,έχω_σημειώσεις,χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:12:23,7,7,3,δεν_έχω_σημειώσεις,χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:12:34,9,10,3,έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,Ναι
20/02/2020 12:12:48,8,8,3,έχω_σημειώσεις,χρησιμοποίησα_σημειώσεις,Ναι
20/02/2020 12:12:50,8,7,3,έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,Ναι
20/02/2020 12:12:52,7,3,1,έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:13:02,4,1,3,δεν_έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:13:18,3,10,3,έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,Ναι
20/02/2020 12:13:49,10,5,2,δεν_έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:13:52,7,5,1,έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:14:19,2,2,2,δεν_έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,΄Οχι
20/02/2020 12:14:28,4,6,1,δεν_έχω_σημειώσεις,δεν_χρησιμοποίησα_σημειώσεις,΄Οχι
