"title";"Title";"Published";"category";"sub_category";"creator";"subject";"keywords";"Item Url";"Description"
"Wired";"One Question Will Probably Decide the Epic-Apple Lawsuit";"2021-05-04T18:14:14";"Business";"Business / National Affairs";"Gilad Edelman";"monopoly money";"apple, epic, app stores, Antitrust";"https://www.wired.com/story/epic-apple-lawsuit-one-legal-question";"It’s all about how you define the market."
"Wired";"Made for Love, Handmaid’s Tale, and the Trap of Dystopian TV";"2021-05-04T16:00";"Culture";"Culture / TV";"Kate Knibbs";"TV";"TV";"https://www.wired.com/story/made-for-love-tv-adaptation";"When failure is the only option, characters—even beloved ones—are left with no place to go."
"Wired";"Facebook Allows Drug Ads to Target Teens, Activists Say";"2021-05-04T16:00";"Business";"Business / Social Media";"Sidney Fussell";"Off Limits";"Facebook, Social Media, Advertising";"https://www.wired.com/story/activists-facebook-allows-drug-ads-target-teens";"The social network has rules about what can be shown to minors. The Tech Transparency Project found that they aren’t being enforced."
"Wired";"The Power and Pitfalls of Gamification";"2021-05-04T15:00";"Ideas";;"Katy Milkman";"Opinion";"Wired Opinion, Apps, Work";"https://www.wired.com/story/power-and-pitfalls-gamification";"When tech companies first adopted the technique, there was hardly any science supporting it. Now researchers know when gamelike features help—and when they hurt."
"Wired";"Share Your Memories With Our Favorite Digital Picture Frames";"2021-05-04T15:00";"Gear";"Gear / Buying Guides";"Medea Giordano";"Buying Guide";"Shopping, Photography, Photos, buying guides, household";"https://www.wired.com/gallery/best-digital-picture-frames";"Get your photos off your phone and in front of your friends and family with these connected displays."
"Wired";"The Windmill AC Is Gorgeous and Can Stay Up All Year Long";"2021-05-04T15:00";"Gear";"Gear / Reviews";"Adrienne So";"Product Review";"Shopping, review, household, smart home";"https://www.wired.com/review/windmill-ac";"Finally! An air conditioner I don't want to bash out of my window with a hammer."
"Wired";"A Brief History of Transformers (Not the Robot Kind)";"2021-05-04T15:00";"Backchannel";;"Vaclav Smil";"Book Excerpt";"Book Excerpt, magnetism, Batteries";"https://www.wired.com/story/brief-history-transformers-not-robots";"This simple electrical device does much of the fundamental work of modern civilization, and it does so modestly and invisibly."
"Wired";"I Battle My Panic Disorder by Mowing Virtual Lawns";"2021-05-04T15:00";"Culture";"Culture / Video Games";"Jennifer Billock";"just a trim";"video games, gaming tips, anxiety, mobile games, mental health";"https://www.wired.com/story/i-battle-my-panic-disorder-by-mowing-virtual-lawns";"It’s Literally Just Mowing, a simple mobile game, has become part of my mental health tool kit. May it inspire you to find one that works for you."
"Wired";"Gummy Bears and Candy Bars Are Casualties of the Pandemic";"2021-05-04T14:00";"Business";"Business / National Affairs";"Aarian Marshall";"Sticky Situation";"Retail, Food and Drink, eCommerce";"https://www.wired.com/story/gummy-bears-candy-bars-casualties-pandemic";"Shopping online means fewer unplanned purchases. But manufacturers and retailers are testing tactics to bring impulse buying to the web."
"Wired";"They Told Their Therapists Everything. Hackers Leaked It All";"2021-05-04T14:00";"Backchannel";"Security";"William Ralston";"Backchannel";"longreads, hacking, security, healthcare";"https://www.wired.com/story/vastaamo-psychotherapy-patients-hack-data-breach";"A mental health startup built its business on easy-to-use technology. Patients joined in droves. Then came a catastrophic data breach."
"Wired";"When You Jump to Hyperspace, Make Sure You Wear a Seatbelt";"2021-05-04T14:00";"Science";"Science / Physics and Math";"Rhett Allain";"Dot Physics";"Dot Physics, video analysis, Forces, Acceleration, Star Wars, physics, Gravity";"https://www.wired.com/story/when-you-jump-to-hyperspace-make-sure-you-wear-a-seatbelt";"May the 4th be with you! If you're hitching a ride on the Millennium Falcon today, you should know a little bit about the bumpy physics of acceleration."
"Wired";"Don’t Buy Into Facebook’s Ad-Tracking Pressure on iOS 14.5";"2021-05-04T00:49:25";"Security";"Security / Privacy";"Brian Barrett";"social media";"Facebook, privacy, Social Media, Advertising, apple";"https://www.wired.com/story/facebook-ad-tracking-pressure-ios-14-5";"The company tells Apple users that tracking helps keep those platforms “free of charge,” but opting out now doesn't mean paying up later."
"Wired";"16 Mother's Day Gift Ideas for the Mom You've Been Missing";"2021-05-03T16:00";"Gear";"Gear / Buying Guides";"Adrienne So";"Oh Momma";"Shopping, Mother's Day, buying guides, gift guides";"https://www.wired.com/gallery/best-mothers-day-gifts-2021";"Brunch may be out of the question—but you can still send your ma some super comfy pants."
"Wired";"Where’s the Dark Matter? Look for Suspiciously Warm Planets";"2021-05-03T15:00";"Science";"Science / Space";"Max G. Levy";"Hot Stuff";"space, dark matter, astrophysics, Astronomy, exoplanet, planets, Milky Way, telescopes";"https://www.wired.com/story/wheres-the-dark-matter-look-for-suspiciously-warm-planets";"Physicists calculated that these mysterious particles will betray their location with heat. To prove it, they’ll need the most powerful telescopes in the cosmos."
"Wired";"So You Got a Clubhouse Invite. Here’s How to Get Started";"2021-05-03T15:00";"Gear";"Gear / How To and Advice";"Julie Charnet";"unmute";"Social Media, social, Apps, Startups, Social Networking, communities";"https://www.wired.com/story/everything-you-need-to-know-before-you-join-clubhouse";"How do you find your favorite topics? How do you start your own room? Here’s how to navigate the audio-only social network."
"Wired";"A Border Town Confronts the Reality of Police Surveillance";"2021-05-03T14:00";"Business";"Business / National Affairs";"Sidney Fussell";"Watched";"facial recognition, surveillance, Police, drones, immigration, Cities";"https://www.wired.com/story/border-town-confronts-reality-police-surveillance";"Chula Vista police have deployed drones and other tech. Now residents are pushing back, after reports that data was shared with immigration authorities."
"Wired";"An Artist Was Targeted in a Hate Crime—So She Designed a Game";"2021-05-03T14:00";"Culture";"Culture / Video Games";"Esther Mollica";"stop aapi hate";"video games, gaming culture, hate speech, PC Games, Console Games, activism";"https://www.wired.com/story/chanhee-choi-video-game-pandemic-hate-crime";"The pandemic saw a spike in xenophobia against Asians. Digital artist Chanhee Choi decided to fight back in a way only she could."
